xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
47,UNIVERSITY HEALTH CENTER INC,2018,990,716 SHAW HILL ROAD,STOWE,N/A,030229931,1972,NA,STEPHEN P ADAMS MD,NA,NA,1534356,1659927,-125571,2015429,1659927,1139622,30443730,331025,NA,44500,NA,NA
48,THE UNIVERSITY OF VERMONT MEDICAL CENTER,2018,990,111 COLCHESTER AVENUE,BURLINGTON,WWW.UVMHEALTH.ORG/MEDCENTER,030219309,1968,NA,DR STEPHEN M LEFFLER,8686,747,1433600411,1360613119,72987292,1529529583,1360613119,62328659,1695000215,661290880,1033709335,832147624,17199818,1477791395
49,VERMONT COALITION OF CLINICS,2014,990,PO BOX 655,BELLOWS FALLS,NA,522076899,NA,"DISBURSEMENT OF STATE AND FEDERAL FUNDS,TECHNICAL ASSISTANCE, GRANT ADMINISTRATION AND REPORTING IN SUPPORT OF 10 CLINICS PROVIDING SERVICES TO UNINSURED AND UNDERINSURED POPULATIONS IN VERMONT.",LYNN RAYMOND-EMPEY,NA,NA,972083,956832,15251,989615,956832,2594,209949,149730,60219,44811,989608,NA
50,Vermont Foundation of Recovery Inc,2018,990,14 Lily Lane,South Burlington,www.vermontfoundationofrecovery.org,464554970,2013,"To create a network of Recovery Homes to help people suffering from addiction re-assimilate into society by supporting the transitions from addiction, to recovery, to independent living.",David Riegel,NA,15,323366,277962,45404,306931,277962,-29666,133312,13428,119884,130935,99331,221906
51,NA,2013,990EZ,NA,NA,N/A,571174378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5961,NA,NA,NA
52,VERMONT MOBILE IMAGING INC,2018,990PF,620 HINESBURG ROAD,SOUTH BURLINGTON,NA,311596911,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71385,NA,NA,NA,NA,NA
53,VERMONT PSYCHIATRIC SURVIVORS INC,2017,990,128 MERCHANTS ROW SUITE 606,RUTLAND,N/A,030335419,1991,"TO PROVIDE INFORMATION TO PRESENT OR FORMER PSYCHIATRICALLY DISABLED PERSONS REGARDING THE AVAILABILITY OF SERVICES, SUPPORT GROUPS AND OTHER RESOURCES, AND TO ASSIST IN THE DEBELOPMENT AND FUNDING OF LOCAL PEER SUPPORT GROUPS.",CHRISTOPHRE WOODS,51,10,600525,550399,50126,669113,550399,-5571,291992,114050,177942,387852,587271,81427
54,VERMONT PSYCHOLOGICAL SERVICES,2018,990,2 COLCHESTER AVENUE,BURLINGTON,N/A,030253219,1972,NA,KAREN M FONDACARO,NA,NA,916758,891760,24998,793849,891760,-37784,400779,NA,NA,143793,217407,559253
55,WINDSOR HOSPITAL CORPORATION,2018,990,289 COUNTY ROAD,WINDSOR,MTASCUTNEYHOSPITAL.ORG,030183721,1933,NA,DAVID SANVILLE,539,152,55648874,53514369,2134505,55695628,53514369,1037654,56791953,NA,NA,33429358,1332952,53489218
58,AIDS PROJECT OF SOUTHERN VERMONT,2019,990,PO BOX 1486,BRATTLEBORO,AIDSPROJECTSOUTHERNVERMONT.ORG,222950456,1988,"PROVIDE DIRECT SERVICES TO THOSE WHOSE LIVES ARE AFFECTED BY HIV/AIDS, OFFER EDUCATION TO PREVENT ITS SPREAD AND PROMOTE UNDERSTANDING WITHIN COMMUNITIES SERVED.",KAREN PETERSON,NA,30,456329,470158,-13829,431809,470158,-42023,222391,9698,212693,263137,428247,375
60,AREA RESOURCES FOR INDIVIDUALIZED,2018,990,PO BOX 4409,WHITE RIVER JUNCTION,WWW.ARISSOLUTIONS.ORG,043342213,1996,NA,WILLIAM ASHE CHERYL THR,64,NA,86953622,86449670,503952,94181965,86449670,692306,18435191,14612055,NA,90580940,91273,94085281
61,Arroway Inc,2018,990EZ,208 Flynn Avenue No 3J,Burlington,N/A,043366294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18299,NA,NA,NA
62,BOSTON MEDICAL CENTER INSURANCE CO LTD,2018,990,159 BANK STREET 4TH FLOOR,BURLINGTON,N/A,201810549,2004,NA,SCOTT FRIEDMAN,NA,NA,4538071,-1005823,5543894,1175,-1005823,-11694,73469,NA,NA,NA,NA,NA
63,BRATTLEBORO MUTUAL AID ASSOC INC,2019,990,80 MAPLE STREET,BRATTLEBORO,NA,030179415,1926,"TO CARE FOR THE SICK, PREVENTION OF DISEASE, MAINTENANCE OF HEALTH, EDUCATION AND SERVICE IN HEALTH &amp; KINDRED MATTERS AND TRAINING NURSES.",DANE A RANK,83,NA,5139852,5092614,47238,4985626,5092614,-144342,3186790,712554,2474236,3040505,61618,4770490
64,NA,NA,NA,NA,NA,NA,237085937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,Carlos G Otis Health Care Center,2018,990,PO Box 216,Townshend,www.gracecottage.org,030177161,1949,NA,Kevin Meyer,250,98,24339708,23837945,501763,24375604,23837945,-407558,16126241,NA,NA,16338008,1126798,23265422
68,CENTRAL VERMONT SUBSTANCE ABUSE,2018,990,PO BOX 1468,MONTPELIER,NA,030357641,1998,PROVIDE SUBSTANCE ABUSE TREATMENT SERVICES TO RESIDENTS OF CENTRAL VERMONT,ROBERT BICK,NA,NA,1410234,1365283,44951,1470576,1365283,-1681,701833,13333,688500,NA,178481,1292095
72,Community Health Services of Addison Cty Inc,2019,990,100 Porter Drive,Middlebury,opendoormidd.org,030359531,1991,"The organization's mission is to provide access to quality healthcare services, free of charge, to eligible people in Addison county Vermont.",Heidi Sulis,10,170,349073,379147,-30074,490774,379147,103744,386708,12343,374365,331289,396941,NA
75,FIVE TOWN HEALTH ALLIANCE INC,2018,990,74 MUNSILL AVENUE SUITE 100,BRISTOL,WWW.MOUNTAINHEALTHCENTER.COM,263010066,2008,NA,MARTHA HALNON,49,NA,3581278,3170606,410672,4197360,3170606,743250,2276847,230265,2046582,2614593,1578262,2597243
77,Franklin County Home Health Agency Inc,2018,990,3 Home Health Circle,StAlbans,www.fchha.org,237076401,1969,NA,Janet McCarthy,205,35,9100506,9275732,-175226,8746326,9275732,30809,2150449,1619027,NA,6731530,163313,8530847
79,Good Neighbor Health Clinic Inc,2019,990,PO Box 1250 / 70 N Main St,White River Junction,goodneighborhealthclinic.org,030346949,1995,The Clinics offer free medical and dental care to Upper Valley residents who are in need and are without the means to pay. Licensed volunteers mentor aspiring health care professionals in the provision of care.,Craig Westling,16,200,742540,743896,-1356,793008,743896,138909,1359628,134313,1225315,444535,785885,NA
80,Green Mountain Recovery Foundation,2018,990EZ,141 State Street,Rutland,N/A,510425091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40845,NA,NA,NA
81,HEALTH CARE &amp; REHABILITATION,2018,990,390 RIVER STREET,SPRINGFIELD,WWW.HCRS.ORG,237017624,1969,"HCRS PROVIDES MENTAL HEALTH, SUBSTANCE ABUSE, AND DEVELOPMENTAL DISABILITY SERVICES, FOR INDIVIDUALS OF ALL AGES, ACROSS WINDSOR AND WINDHAM COUNTIES OF VERMONT. THE NON-PROFIT AGENCY SERVES OVER 4000 VERMONTERS ANNUALLY.",EDMUND HMOORE IV,662,NA,44089591,43222970,866621,45324296,43222970,93904,16806732,13031778,3774954,28609883,6958011,37317355
82,The Institute of Medical Humanism Inc,2018,990EZ,PO Box 197,Bennington,N/A,030371823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,102767,NA,NA,NA
83,INTER-CARE FAMILY FOUNDATION LTD,2016,990,724 WINHALL STATION ROAD,SOUTH LONDONDERRY,N/A,134158812,2001,MEDICAL TREATMENT FOR ALCOHOL AND DRUG RELATED ADDICITON,NA,NA,NA,2340,70648,-68308,-11799,70648,-27658,NA,NA,NA,NA,1599,NA
84,KIDS REHABGYM INC,2019,990,373 BLAIR PARK ROAD SUITE 204,WILLISTON,kidsrehabgym.org,271710522,2009,"TO EDUCATE FAMILIES IN THE IMPORTANCE OF MOTOR DEVELOPMENT, HOW TO ACHIEVE DEVELOPMENT MILESTONES AND TO ASSIST THEIR CHILDREN IN GAINING THE HIGHEST LEVEL OF INDEPENDENCE.",CAITLIN CUNNINGHAM,12,NA,671519,670876,643,790505,670876,90142,168731,150499,18232,564692,2385,788120
86,LOVE LIGHT COMPASSION FOUNDATION,2018,990EZ,PO BOX 1076,SHELBURNE,LOVELIGHTCOMPASSION.ORG,464282388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39384,NA,NA,NA
88,LYNDON RESCUE INC,2019,990,PO BOX 401,LYNDONVILLE,LYNDONRESCUE.INFO,030350954,1996,NA,JILLIAN MCLAUGHLIN,29,NA,1159291,1018786,140505,1095290,1018786,156409,681076,353297,NA,551334,16700,1055035
89,NA,2013,990EZ,NA,NA,www.maryhaasfoundation.org,272014217,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210631,NA,NA,NA
92,MOSAIC VERMONT INC,2019,990,4 COTTAGE STREET,BARRE,WWW.MOSAIC-VT.ORG,222600063,1986,MOSAIC VERMONT'S MISSION IS TO HEAL COMMUNITIES AND END SEXUAL VIOLENCE.,ANNE WARD MED,13,NA,378402,334160,44242,340226,334160,-23740,540989,121373,419616,243480,340197,NA
93,MT ASCUTNEY HOSPITAL COMMUNITY HEALTH,2018,990EZ,289 COUNTY ROAD,WINDSOR,WWW.MTASCUTNEYHOSPITAL.ORG,030300481,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
95,NA,NA,NA,NA,NA,NA,273402358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
96,Northern VT Area Health Education Center Inc,2018,990,347 Emerson Falls Road,Saint Johnsbury,www.nvtahec.org,043366707,1997,To educate and inspire students and professionals to improve the health of Vermont communities.,Nicole LaPointe,NA,NA,673463,579968,93495,890474,579968,24863,998283,171265,827018,365517,832612,43277
97,ORLEANS COUNTY CHILD ADVOCACY,2018,990PF,PO BOX 1133,NEWPORT,NA,223466929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19060,8867,NA,NA,NA,NA
102,REGIONAL AMBULANCE SERVICE INC,2019,990,275 STRATTON ROAD,RUTLAND,www.rasvt.com,030286379,1983,"Our mission is serving people first with pride, proficiency and professionalism. We offer emergency, ambulance, and paramedic services for Rutland City and surrounding towns in Vermont.",PAUL KULIG,77,NA,3946532,3661683,284849,3839572,3661683,21694,9616253,621171,8995082,2640305,145538,3564082
104,RUTLAND HOSPITAL INC,2018,990,160 ALLEN STREET,RUTLAND,WWW.RRMC.ORG,030183483,1892,NA,CLAUDIO D FORT,1984,303,281194734,276209693,4985041,288038302,276209693,6941164,292231354,79039051,NA,163195370,3736338,278857440
106,SOUTH END COMMUNITY HOUSING,2018,990EZ,88 KING STREET,BURLINGTON,N/A,030358429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-241191,NA,NA,NA
108,SOUTHWESTERN VERMONT HEALTH CARE AUXILIARY,2018,990,100 HOSPITAL DRIVE,BENNINGTON,WWW.SVHEALTHCARE.ORG,222563243,1984,TO SERVE AND ASSIST SOUTHWESTERN VERMONT HEALTH CARE CORPORATION AND ITS NOT-FOR-PROFIT SUBSIDIARIES IN PROMOTING THE HEALTH AND WELFARE OF THE COMMUNITY AND TO CONDUCT VARIOUS PHILANTHROPIC ACTIVITIES FOR SOUTHWESTERN VERMONT MEDICAL CENTER.,THOMAS DEE,NA,NA,266035,376323,-110288,225347,376323,-103182,295481,17053,278428,101117,6844,210301
109,SOUTHWESTERN VERMONT HEALTH CARE CORPORATION,2018,990,100 HOSPITAL DRIVE,BENNINGTON,WWW.SVHEALTHCARE.ORG,030179435,1912,NA,THOMAS DEE,NA,134,5767481,3529187,2238294,5137158,3529187,1642230,75928188,13443351,62484837,1173786,NA,3175542
110,STERN CENTER FOR LANGUAGE AND,2018,990,183 TALCOTT ROAD,WILLISTON,WWW.STERNCENTER.ORG,222485793,1983,NA,BLANCHE PODHAJSKI PHD,77,30,3683685,3543942,139743,3546330,3543942,-169442,7545333,346589,7198744,2604197,996626,2372126
113,STOWE WEEKEND OF HOPE INC,2018,990EZ,PO BOX 604,STOWE,STOWEHOPE.ORG,264134116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,76228,NA,NA,NA
114,THE UNIVERSITY OF VERMONT MEDICAL CENTER,2018,990EZ,111 COLCHESTER AVE,BURLINGTON,SEE SCHEDULE O,263159849,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
116,Turning Point of Windam County,2018,990,PO Box 1303,Brattleboro,N/A,651278995,2005,A Peer Recovery Center,NA,NA,45,132044,143359,-11315,209783,143359,14163,343887,206625,137262,137625,207549,1920
118,VERMONT ASSEMBLY OF HOME HEALTH AND,2018,990,PO BOX 1302,MONTPELIER,VNAVT.ORG,237169051,1971,"To increase knowledge of and to develop, improve, and expand the quality of community health services throughout the State of Vermont.To provide media for the interchange of ideas and dissemination of material relative to home health needs. To foster closer cooperation among agencies and individuals providing home health care.To foster closer cooperation between home health agencies and other health care institutions and programs.To conduct and participate in the education programs and activities concerning home health and related community health services.To represent home health agency concerns with agencies and institutions involved with financing and surveying home health agency services.",Jill Olson,NA,NA,75276,59179,16097,410743,59179,11031,197454,NA,197454,184471,13997,393456
120,VERMONT DENTAL CARE PROGRAMS INC,2018,990,32B MALLETTS BAY AVENUE,WINOOSKI,VTDENTALCARE.COM,030228038,1971,TO PROVIDE COMPREHENSIVE DENTAL SERVICES TO CHILDREN AND LOW-INCOME FAMILIES.,DR CHARLES SELEEN,23,NA,2083739,2038299,45440,2109010,2038299,-20204,564119,176701,387418,1549701,NA,2107913
121,NA,NA,NA,NA,NA,NA,030289111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
122,VERMONT PROGRAM FOR QUALITY IN HEALTH,2018,990,132 MAIN STREET STE 1,MONTPELIER,WWW.VPQHC.ORG,222982253,1989,NA,CATHERINE FULTON,12,NA,1325443,1314994,10449,1384851,1314994,-33189,750672,275056,NA,1095061,665000,707592
124,WHITE RIVER VALLEY AMBULANCE INC,2019,990,3190 PLEASANT STREET,BETHEL,HTTP://WHITERIVERVALLEYAMBULANCE.ORG,237326213,1974,NA,VICTOR RIBAUDO,41,NA,1532249,1500625,31624,1554097,1500625,90548,1051785,234740,NA,1060294,5255,1546091
127,AC DENTAL CARE INCORPORATED,2018,990,862 EAST MUNGER ST,MIDDLEBURY,N/A,593779936,2004,"PROVIDE DENTAL CARE TO LOW AND MODERATE INCOME INDIVIDUALS IN THE BRISTOL, VERMONT REGION.",MARGARET F MARTIN,NA,NA,375857,414298,-38441,363155,414298,-17200,136583,47908,88675,218572,250,362899
128,Academic Physicians Insurance Company,2018,990,463 Mountain View Drive Suite 301,Colchester,N/A,204687937,2006,"ORGANIZED AND OPERATED FOR THE EXCLUSIVE PURPOSE OF SUPPORTING THE UNIVERSITY OF OKLAHOMA'S &amp; ITS AFFILIATED ENTITIES' ACADEMIC, EDUCATIONAL, RESEARCH, CLINICAL CARE, AND INDIGENT CARE MISSIONS. ACCORDINGLY, ITS SERVICES ARE LIMITED TO PROVIDING PROFESSIONAL, GENERAL, AND OTHER INSURANCE COVERAGE AND RELATED SERVICES TO THE UNIVERSITY AND ITS AFFILIATES.",NA,NA,NA,13963904,13272634,691270,14699597,13272634,1862451,62110236,41626692,20483544,NA,NA,13127993
130,ARLINGTON RESCUE SQUAD INC,2018,990,PO BOX 295,ARLINGTON,WWW.ARLINGTONRESCUE.ORG,237135931,NA,EMERGENCY MEDICAL CARE AND TRANSPORTATION,JOSH WILLIAMS,20,NA,326123,296354,29769,312896,296354,-90411,771797,119425,652372,199810,66199,239930
132,Auxiliary of Porter Medical Center,2018,990,115 Porter Drive,Middlebury,portermedical.org/auxiliary.html,237363227,1974,NA,Alix O'Meara,NA,17,196639,214002,-17363,203956,214002,-3172,68285,13908,NA,NA,40833,159380
133,Brattleboro Memorial Hospital,2018,990,17 Belmont Avenue,Brattleboro,www.bmhvt.org,030107300,1904,NA,Steven Gordon,758,117,83484770,83382642,102128,88826053,83382642,2018223,80602363,19766908,NA,48185348,1178724,86496947
134,Brattleboro Retreat,2019,990,1 Anna Marsh Lane,Brattleboro,www.brattlebororetreat.org,030107360,1834,NA,Louis Josephson PhD,892,12,78235324,73797186,4438138,73514339,73797186,-5443224,42993541,23646782,NA,51993541,458146,72682931
