xml_num,organization,tax_year,form,address,city,website,ein,start_yr,mission,principal_officer,employee_count,volunteer_count,PY_total_revenue,PY_total_expenses,PY_net,CY_total_revenue,CY_total_expenses,CY_net,CY_total_EOY_assets,CY_total_EOY_liabilities,CY_fund_balance,CY_total_salaries,CY_grants_contributions,CY_program_service_rev
25,Baba Tree International,2018,990EZ,PO Box 46,Jeffersonville,babatree.org,454067698,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27948,NA,NA,NA
27,Community Asylum Seekers Project,2019,990EZ,2128 Brockway Mills Rd,Rockingham,N/A,813418323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80615,NA,NA,NA
28,DIRECT AID INTERNATIONAL INC,2019,990,PO BOX 394,NORTHFIELD,WWW.DIRECTAIDINTERNATIONAL.ORG,030515558,2003,NA,JONATHAN HOFFMAN,NA,10,64810,64394,416,44708,64394,-26251,9116,NA,9116,NA,44643,NA
29,NA,2013,NA,NA,NA,www.drokpa.org,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9079,NA,NA,NA
31,Hannahs Gold Foundation,2014,990EZ,458 Howland Farm Road,Belmont,www.hannahsgold.com,272221857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2798,NA,NA,NA
32,HIMALAYAN CATARACT PROJECT INC,2019,990,PO BOX 55,WATERBURY,WWW.CUREBLINDNESS.ORG,030362926,1999,THE HIMALAYAN CATARACT PROJECT WORKS TO CURE NEEDLESS BLINDESS WITH THE HIGHEST QUALITY CARE AT THE LOWEST COST.,EMILY NEWICK,29,24,12009506,9978499,2031007,10311281,9978499,-1623649,11814583,1287434,10527149,2005171,9268577,848636
34,Norwich University Applied Research Institutes Ltd,2018,990,PO Box 30,Northfield,www.NUARI.org,061669185,2002,NA,Philip Susmann,13,11,1924769,2306729,-381960,2163869,2306729,-89507,787841,475170,NA,1148364,1402159,760350
35,Phulmaya Foundation Ltd,2017,990EZ,PO Box 1169,Montpelier,N/A,030360505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16954,NA,NA,NA
37,TLC HUMANITARIAN INTERNATIONAL MISSIONS,2018,990EZ,1242 MYERS RD,SHAFTSBURY,TLC4HIM.ORG,262762645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2332,NA,NA,NA
39,US MAHER FRIENDS INC,2018,990EZ,36 KINSINGTON STREET,SOUTH BURLINGTON,www.usmaherfriends.org,272861394,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62423,NA,NA,NA
40,Vermont Haiti Project,2018,990EZ,63 Maple Leaf Lane,Shelburne,www.vermonthaitiproject.org,270214989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62661,NA,NA,NA
47,Betasab,2018,990EZ,PO Box 655,Middlebury,www.betasab.org,263716963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16951,NA,NA,NA
52,FRIENDS OF MINDO CLOUD FOREST INC,2018,990EZ,103 CHESTNUT HILL,BRATTLEBORO,HTTP://MINDOCLOUDFOREST.ORG,463870277,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,530,NA,NA,NA
56,INSTITUTE FOR SUSTAINABLE COMMUNITIES,2018,990,535 STONE CUTTERS WAY,MONTPELIER,WWW.SUSTAIN.ORG,223098727,1991,NA,GEORGE HAMILTON,39,15,5912151,6537871,-625720,9579944,6537871,1910051,8752330,938610,NA,4152250,9246236,283676
61,PROJECT HARMONY INC,2018,990,5197 MAIN STREET NO 6,WAITSFIELD,WWW.PH-INT.ORG,222644556,1985,NA,ANN MARTIN,13,NA,5473462,5473781,-319,7661993,5473781,94183,2078496,NA,NA,2235473,7651433,NA
62,NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2047,NA,NA,NA
63,THE BOMA PROJECT INC,2018,990,PO BOX 1865,MANCHESTER CENTER,WWW.BOMAPROJECT.ORG,841671995,2005,"THE BOMA PROJECT EMPOWERS WOMEN IN THE DRY LANDS OF AFRICA TO ESTABLISH SUSTAINABLE LIVELIHOODS, BUILD RESILIENT FAMILIES, GRADUATE FROM EXTREME POVERTY AND CATALYZE CHANGE IN THEIR RURAL COMMUNITIES.",STEPHEN J KELLY,12,NA,3163127,3052408,110719,3880945,3052408,-308877,1202362,194979,1007383,1041338,3836583,NA
68,CHILDREN AFFECTED BY HIV AIDS,2015,990EZ,16 BRADLEY AVENUE,BRATTLEBORO,WWW.CHABHA.ORG,522443713,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22228,NA,NA,NA
70,FOR ONE ANOTHER FOUNDATION INC,2015,990EZ,PO BOX 4404,BURLINGTON,WWW.FORONEANOTHER.ORG,271353607,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30719,NA,NA,NA
73,Help-Kids-India Inc,2018,990EZ,PO Box 1022,East Corinth,http://helpkidsindia.org,611572756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51932,NA,NA,NA
77,NORTHERN FRIENDS OF HAITI INC,2019,990EZ,PO BOX 4386,BURLINGTON,www.nfoh.org,465193139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,NA,2013,990EZ,NA,NA,N/A,262637627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59939,NA,NA,NA
80,Vermont Afterschool Inc,2018,990,123 Ethan Allen Avenue,Colchester,www.vermontafterschool.org,320399970,2013,"The mission of Vermont Afterschool, Inc. (""VTA"") is to support organizations in providing quality afterschool, summer and expanded learning experiences for the benefit of Vermont's children and youth.",Holly Morehouse,12,21,569097,638396,-69299,1407006,638396,465320,840440,32064,808376,466650,1237670,168104
81,WELLS MOUNTAIN FOUNDATION INC,2015,990,25D MAIN STREET,BRISTOL,WWW.WELLSMOUNTAINFOUNDATION.ORG,203823604,2005,"TO PROVIDE FUNDING AND SUPPORT FOR INDIVIDUALS AND INSTITUTIONS SERVING INDIVIDUALS AND FAMILIES IN NEED OF ASSISTANCE BECAUSE OF EXTREME POVERTY, PARTICULARLY IN THE AREAS OF EDUCATION, HEALTH, FAMILY SUPPORT AND LEADERSHIP TRAINING.",THOMAS M WELLS,NA,NA,677633,163000,514633,192528,163000,-41521,535515,1123,534392,NA,175763,NA
82,THE YALE-MULAGO MEDICAL FELLOWSHIP CORP,2019,990,PO BOX 618,MANCHESTER VILLAGE,N/A,263610097,2008,NA,DR JOCK LAWRASON,NA,NA,50000,59326,-9326,75000,59326,9840,147472,NA,NA,NA,75000,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
